Código ISO-639-1,Idioma
af,Afrikáans
sq,Albanés
am,Amárico
ar,Árabe
hy,Armenio
az,Azerí
eu,Vasco
be,Bielorruso
bn,Bengalí
bs,Bosnio
bg,Búlgaro
ca,Catalán
ceb,Cebuano
zh,Chino
zh-CN,Chino (simplificado)
zh-TW,Chino (tradicional)
co,Corso
hr,Croata
cs,Checo
da,Danés
nl,Holandés
en,Inglés
eo,Esperanto
et,Estonio
fi,Finlandés
fr,Francés
fy,Frisón
gl,Gallego
ka,Georgiano
de,Alemán
el,Griego
gu,Guyaratí
ht,Criollo haitiano
ha,Hausa
haw,Hawaiano
he,Hebreo
iw,Hebreo
hi,Hindi
hmn,Hmong
hu,Húngaro
is,Islandés
ig,Igbo
id,Indonesio
ga,Irlandés
it,Italiano
ja,Japonés
jv,Javanés
kn,Canarés
kk,Kazajo
km,Jemer
rw,Kiñaruanda
ko,Coreano
ku,Kurdo
ky,Kirguís
lo,Laosiano
la,Latín
lv,Letón
lt,Lituano
lb,Luxemburgués
mk,Macedonio
mg,Malgache
ms,Malayo
ml,Malabar
mt,Maltés
mi,Maorí
mr,Maratí
mn,Mongol
my,Birmano
ne,Nepalí
no,Noruego
ny,Nyanja (chichewa)
or,Odia (oriya)
ps,Pastún
fa,Persa
pl,Polaco
pt,Portugués (Portugal y Brasil)
pa,Panyabí
ro,Rumano
ru,Ruso
sm,Samoano
gd,Gaélico escocés
sr,Serbio
st,Sesoto
sn,Shona
sd,Sindhi
si,Cingalés
sk,Eslovaco
sl,Esloveno
so,Somalí
es,Español
su,Sundanés
sw,Suajili
sv,Sueco
tl,Tagalo (filipino)
tg,Tayiko
ta,Tamil
tt,Tártaro
te,Telugú
th,Tailandés
tr,Turco
tk,Turcomano
uk,Ucraniano
ur,Urdu
ug,Uigur
uz,Uzbeko
vi,Vietnamita
cy,Galés
xh,Xhosa
yi,Yiddish
yo,Yoruba
zu,Zulú